,ant_a,ant_b,vis
0,0,1,(-1.1539755894623154-0.023964347105604057j)
1,0,2,(-0.711994054012022+0.6464060949876693j)
2,0,3,(-0.39475367480663726+0.4651419891878402j)
3,0,4,(-0.49656797793336127+0.017150880637041205j)
4,0,5,(-0.5355213923732769-0.5445084450535607j)
5,0,6,(-0.4294888250120056-0.12850960605107264j)
6,0,7,(0.1790215375394456+0.37819721387162497j)
7,0,8,(-0.5458293910891727-0.5156554484834028j)
8,0,9,(-0.5300808875178142+0.9515971677709978j)
9,1,2,(1.3491992950734697-1.2323209497957708j)
10,1,3,(0.5635378819523229-0.6201136756262957j)
11,1,4,(1.0777566953906683+0.3707346312046j)
12,1,5,(1.2152675603326026+1.0427443135136476j)
13,1,6,(0.9618512068726787+0.3304792175592321j)
14,1,7,(-0.3816185841980135-0.7646484422494667j)
15,1,8,(1.0017602963220822+0.8060840651383858j)
16,1,9,(1.0218227628164263-1.2217715536821256j)
17,2,3,(1.02923456073673+0.1511254614239438j)
18,2,4,(0.31495159471768847+0.9139637465661143j)
19,2,5,(-0.08156078237072507+1.4263449287614136j)
20,2,6,(0.624584155509456+1.0128727925634406j)
21,2,7,(0.2663772717111429-0.8082047678747986j)
22,2,8,(0.1441147067541254+1.3703255391453775j)
23,2,9,(1.6484486782648324-0.39868076359462556j)
24,3,4,(0.05681663245820032+0.5806050434183402j)
25,3,5,(0.13040192294003214+0.7588985617323578j)
26,3,6,(0.33873616043181687+0.5041480308779512j)
27,3,7,(-0.11853781830901494-0.6033199034207437j)
28,3,8,(0.23286542078810274+0.876296544763037j)
29,3,9,(1.063427629576394-0.27077963289169066j)
30,4,5,(0.7447453517959329+0.2906157194888738j)
31,4,6,(0.41920562590342425+0.02220842689309531j)
32,4,7,(-0.2497460989887722-0.2897123868479126j)
33,4,8,(0.835096841292976+0.18478719677334818j)
34,4,9,(0.16616119201095933-0.922674597854163j)
35,5,6,(0.6706592107459771-0.20269549177456905j)
36,5,7,(-0.7296912660199361-0.06642565655626301j)
37,5,8,(1.0474307365455966-0.15607969103484587j)
38,5,9,(-0.21334232164989467-1.1922172188157218j)
39,6,7,(-0.30832162880141584-0.14725944059233514j)
40,6,8,(0.5413353997963113+0.38734578747018744j)
41,6,9,(0.040141936619771806-0.7140927758315894j)
42,7,8,(-0.6666331852488467+0.10288881779709123j)
43,7,9,(0.12516122687445946+0.762634812681219j)
44,8,9,(-0.17095012401862228-1.059533539625833j)
